#  
#   VizieR Astronomical Server vizier.unistra.fr
#    Date: 2023-07-04T13:00:58 [V7.321]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO protocol=ASU 
#INFO request_date=2023-07-04T13:00:58 
#INFO request_post=https://vizier.unistra.fr//viz-bin/asu-txt 
#Sloan=Sloan
#
#INFO contact=cds-question@unistra.fr 
#INFO version=7.321 
#INFO -out.max=unlimited 
#RESOURCE=yCat_51340945
#Name: J/AJ/134/945
#Title: Tully-Fisher relation for SDSS galaxies (Pizagno+, 2007)
#INFO ivoid=ivo://cds.vizier/j/aj/134/945    
#INFO publisher=CDS    
#INFO creator=Pizagno J.    
#INFO related_resource=bibcode:2007AJ....134..945P    
#INFO landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/134/945    
#INFO publication_id=doi:10.26093/cds/vizier.51340945    
#INFO publication_date=2017-06-30    
#INFO curation_level=RESEARCH    
#INFO rights=https://cds.unistra.fr/vizier-org/licences_vizier.html    
#Table J_AJ_134_945_galaxies:
#Name: J/AJ/134/945/galaxies
#Title: Photometric parameters and arc-tangent functional  fit and rotation speed
#---Details of Columns:
#    SDSS          (a19)   SDSS identification (JHHMMSS.ss+DDMMSS.s) [ucd=meta.id;meta.main]
#    gMAG (mag)    (F6.2)  Absolute SDSS g band Petrosian magnitude (1) [ucd=phys.magAbs;em.opt.B]
#    e_gMAG (mag)  (F5.2)  Uncertainty in gMAG [ucd=stat.error]
#    rMAG (mag)    (F6.2)  Absolute SDSS r band Petrosian magnitude (1) [ucd=phys.magAbs;em.opt.R]
#    e_rMAG (mag)  (F5.2)  Uncertainty in rMAG [ucd=stat.error]
#    iMAG (mag)    (F6.2)  Absolute SDSS i band Petrosian magnitude (1) [ucd=phys.magAbs;em.opt.I]
#    e_iMAG (mag)  (F5.2)  Uncertainty in iMAG [ucd=stat.error]
#    g-r (mag)     (F5.2)  ? SDSS (g-r) band model color index [ucd=phot.color;em.opt.B;em.opt.R]
#    e_g-r (mag)   (F5.2)  ? Uncertainty in g-r [ucd=stat.error;phot.color;em.opt.B]
#    D/T           (F5.2)  ? Disk-to-Total flux ratio (4) [ucd=phot.flux;arith.ratio]
#    Ri (kpc)      (F5.2)  ? Half-light radius (4) [ucd=phys.size.radius]
#    e_Ri (kpc)    (F5.2)  ? Uncertainty in Ri [ucd=stat.error]
#    b/a           (F5.2)  ? Disk axis ratio (4) [ucd=phys.angSize;arith.ratio]
#    e_b/a         (F5.2)  ? Uncertainty in b/a [ucd=stat.error]
#    Vcirc (km/s)  (F6.2)  ? Asymptotic circular velocity (2) [ucd=phys.veloc.transverse]
#    V2.2 (km/s)   (F6.2)  ? Velocity at 2.2 times the disk exponential scale length (2) [ucd=phys.veloc.transverse]
#    e_V2.2 (km/s) (F5.2)  ? Uncertainty in V2.2 [ucd=stat.error]
#    Flag          (I1)    [1/4] Rotation curve peculiarities (4) [ucd=meta.code.error]
#------------------- ------ ----- ------ ----- ------ ----- ----- ----- ----- ----- ----- ----- ----- ------ ------ ----- -
#                                                                                                                         F
#                           e_           e_           e_          e                                                 e_V   l
#                    gMAG   gMAG  rMAG   rMAG  iMAG   iMAG  g-r   _g-r        Ri    e_Ri              Vcirc  V2.2   2.2 ( a
#SDSS                (mag)  (mag) (mag)  (mag) (mag)  (mag) (mag) (mag) D/T   (kpc) (kpc) b/a   e_b/a (km/s) (km/s) km/s) g
#------------------- ------ ----- ------ ----- ------ ----- ----- ----- ----- ----- ----- ----- ----- ------ ------ ----- -
J211343.93+003428.7 -22.47  0.34 -22.97  0.29 -23.16  0.22  0.57  0.06  0.97 12.74  0.39  0.26  0.01 317.25 270.41  3.24 2
J211439.91-075806.9 -20.51  0.23 -20.85  0.19 -20.95  0.15  0.39  0.05  1.00  6.19  0.25  0.34  0.01 119.26 107.71  3.66 1
J211450.23-072743.3 -21.37  0.13 -21.94  0.12 -22.23  0.10  0.61  0.02  0.91  8.64  0.35  0.62  0.01 182.75 211.47  4.67 1
J211522.10-074605.0 -18.96  0.08 -19.41  0.10 -19.54  0.09  0.42  0.04  1.00  2.00  0.08  0.40  0.01  68.94  54.43  4.66 2
J211627.63-004935.3 -21.61  0.23 -22.20  0.19 -22.26  0.14  0.60  0.03  0.78 11.45  0.80  0.54  0.01 285.69 269.32 12.28 3
J211816.06-073507.8 -21.68  0.25 -22.33  0.20 -22.65  0.17  0.68  0.05  0.90  7.44  0.33  0.33  0.01 333.30 222.01  5.48 3
J211900.28-005750.0 -19.65  0.11 -20.24  0.11 -20.53  0.11  0.57  0.00  0.47  1.70  0.08  0.54  0.01 144.06 153.91  3.85 1
J213014.23-080401.1 -21.78  0.25 -22.28  0.20 -22.57  0.16  0.62  0.05  0.89 11.90  0.46  0.36  0.01 191.32 190.64  2.87 1
J213058.11-070507.9 -20.53  0.22 -21.19  0.18 -21.55  0.15  0.71  0.05  0.86  5.67  0.20  0.30  0.01 159.43 153.30  6.60 1
J213703.87-073518.0 -20.20  0.16 -20.60  0.13 -20.81  0.11  0.47  0.03  0.96  3.52  0.14  0.46  0.01 141.73 131.44  3.43 1
J213811.68+121139.1 -20.43  0.27 -20.85  0.22 -20.91  0.15  0.46  0.05  0.91  3.37  0.16  0.31  0.01 113.68  96.98  3.32 2
J215156.74+121411.3 -19.91  0.28 -20.30  0.24 -20.52  0.20  0.48  0.05  0.94  4.49  0.18  0.17  0.01 145.64 116.42  5.05 3
J215226.03-081024.9 -21.81  0.33 -22.24  0.27 -22.29  0.18  0.40  0.06  0.86  3.89  0.15  0.27  0.01 203.56 188.88  4.28 2
J215247.62+122942.8 -19.42  0.12 -20.05  0.11 -20.37  0.10  0.64  0.02  0.93  4.49  0.19  0.50  0.01 129.53 120.95 20.26 3
J215326.90+002218.0 -20.19  0.16 -20.55  0.13 -20.56  0.11  0.36  0.03  0.99  8.25  0.37  0.53  0.01 131.27 132.13  3.65 1
J215421.67-075605.7 -19.83  0.19 -20.23  0.16 -20.41  0.13  0.46  0.04  0.98  2.30  0.09  0.34  0.01 163.89 126.27  2.51 2
J215652.70+121857.5 -21.33  0.16 -21.77  0.13 -21.97  0.11  0.54  0.03  0.92  8.48  0.38  0.56  0.01 161.72 178.49  3.46 1
J215837.69+114913.2 -21.78  0.16 -22.18  0.11 -22.41  0.09  0.50  0.05  0.87  9.51  0.20  0.61  0.01 188.98 200.25 10.09 2
J232021.17-001819.2 -19.20  0.13 -19.50  0.12 -19.59  0.11  0.36  0.02  1.00  5.08  0.21  0.54  0.01 148.71 117.27 71.37 3
J232238.68-005903.7 -21.21  0.14 -21.66  0.13 -21.83  0.10  0.50  0.02  0.95  7.74  0.33  0.58  0.01 161.82 162.72  3.15 2
J232613.88+010828.2 -21.07  0.23 -21.39  0.17 -21.59  0.14  0.41  0.06  0.99  5.98  0.27  0.41  0.01 183.74 158.25  2.99 2
J232631.10+005013.5 -20.69  0.19 -21.12  0.16 -21.32  0.13  0.51  0.03  0.95  4.02  0.17  0.41  0.01 182.75 157.95  2.59 2
J233152.99-004934.4 -19.60  0.31 -19.81  0.23 -19.83  0.18  0.21  0.08  1.00  6.48  0.28  0.14  0.01 121.83  80.27  3.21 2
J233259.33+004318.8 -18.64  0.20 -18.94  0.17 -19.03  0.15  0.37  0.05  1.00  3.74  0.21  0.29  0.01 113.23  78.70  8.09 3
J234107.77-010215.2 -22.34  0.24 -22.75  0.18 -22.95  0.14  0.53  0.06  1.00  3.65  0.17  0.43  0.01 222.56 211.56  2.25 1
J234215.64-003745.9 -20.28  0.14 -20.97  0.15 -21.09  0.10  0.75  0.02  0.77  3.84  0.13  0.38  0.01 180.17 151.32  3.58 3
J234328.26-000148.6 -20.79  0.27 -21.35  0.22 -21.57  0.17  0.63  0.04  0.95  5.87  0.24  0.25  0.01 226.11 187.09  3.29 2
J234504.86-001615.1 -20.32  0.29 -20.62  0.23 -20.71  0.19  0.37  0.06  0.98  7.19  0.33  0.23  0.01 131.65 113.63  2.45 2
J235106.25+010324.0 -22.20  0.28 -22.61  0.23 -22.75  0.19  0.61  0.06  0.97 13.95  0.61  0.38  0.01 253.79 212.25  5.02 1
J235603.89-000958.6 -20.22  0.20 -20.47  0.17 -20.51  0.14  0.25  0.04  0.97  5.57  0.21  0.34  0.01 114.18  99.18  2.55 2
J235607.82+003258.1 -20.66  0.16 -21.29  0.14 -21.54  0.10  0.75  0.04  0.83  4.12  0.20  0.70  0.01 179.72 232.03  6.74 2
J235624.68-001739.6 -18.99  0.16 -19.39  0.14 -19.51  0.12  0.39  0.03  1.00  3.32  0.15  0.36  0.01 112.94  90.78  7.80 3
J235743.74+003918.6 -20.61  0.29 -21.18  0.25 -21.23  0.14  0.64  0.05  0.59  4.80  0.20  0.13  0.01 192.70 161.25  2.03 2
